headline,published_at,source_url,sentiment,confidence_score
Tech Stocks Tumble on Worries Over A.I. Spending and China’s Chips - The New York Times,2026-07-28 23:44:26,https://news.google.com/rss/articles/CBMickFVX3lxTE45VWk0QW5DWTBhXzVzQTQ4MXNtMDR5NVRKZnFsLWhWLVRhbVB6N2ZDNUZxcndKVWd6WW5vaWNjTzBoUUlzUzlWZWE1SkVWV0R1RXRoMklLWjUxOUw3dm5ncW9PZmlKOFc5a2U3V3Y2UXh3UQ?oc=5,neutral,0.7092
"Investors Have Been Giving Tech Stocks a Hard Time Lately, Despite Strong Earnings - Investopedia",2026-07-27 21:16:17,https://news.google.com/rss/articles/CBMiygFBVV95cUxQTUZvSFdualB4a1lwdnFjVXF4bGZkcXFaT2ZpVzZBTzYtbFdmQWdEUWVxTzM4RGZFTURQcEU3YWJHVDVrMUxEMkJrUVhJbkZsU2xONHFhZTF4Njc0ME4yazdRSklJTkJzYzdCbVJPOUF3Wm5veW1GcHFxTWFFVkp6Q0lqSnZPbHZlN2VoVUNkQ0pIVVBRWURlT2E4RTY1QklJblVqVW42XzF3V1BVVEFYYmFyUWlDc3p3bVJKVHkwVEd1WEJlVkx0bkNn?oc=5,neutral,0.4944
A Tired Tech Trade Looks Set to Sink the Stock Market - Barron's,2026-07-29 05:00:00,https://news.google.com/rss/articles/CBMibEFVX3lxTE9UdFBXRkhZa21SM0N2Xy0tdk5RN3FrX1c4czhfaXJORnJtTEhEOTlISF9naUlocFVkTXF6Mlg1RW82dHJpNlE5T0NIOHlzekhtakluUTZVandGSDM0UlVfbTB3QWVnd2FmWlhNMA?oc=5,negative,0.6831
South Korean stock market at three-month low as AI sell-off intensifies - The Guardian,2026-07-28 09:03:00,https://news.google.com/rss/articles/CBMikwFBVV95cUxNcmVZT1owblRILUJnajMzUHdYa3Y3SmJwc0NrcFpJZXNTWkFSQlpjR191U1dkcHVha0lTUEpFa0stREtycWg5bmFMVTZERGN4R1ZSYkxKdzVWODBVcXFHX25TS3FpaVpZNlplaW9YTVh2Zm5jLVVrNy10RUNHcDJad05LU1FwNnV6WVNweTJVUi1WWEU?oc=5,neutral,0.5653
U.S. and Korean tech stocks are now tightly linked — and that could be a worry for investors - CNBC,2026-07-28 01:22:00,https://news.google.com/rss/articles/CBMilgFBVV95cUxQMFlab2FNYXZBWmtLWDN5N0F0THRfRUdicVBwS2p1YnB5SEM2OHNWVXRDTzlRUUo2TWlZNnNJbDFvYXBwcTFXTzYyZVNOcXFkc1NmT1N5ZjRmT0NaSkNERGVfb0N4eEdnQ1R1RUsyY1JhVHdHbEREM0xKeVh6aXJyYm8zRG12WG4yLS14a25JUlNZZk1uWHfSAZsBQVVfeXFMUG8tUkxVdmtPVkkxZEt5U0lrZTkxM01hOTVJUEpURnd3MnU2RTBBUnQ3bzRKVnEyUUZIRHNIdWRWcGZGUDJZWUdud3RwV2xWcUF4R1RXMk5objg3NlMyeTlrc0NlNXhUU3VPXy1qRGNOMjYyd3B5MW5SeTQtUjFlRDBBc3JxUWVJQTNER0NiNTg3c3JDSlFJWGVJc2s?oc=5,neutral,0.6949
Why are tech stocks tanking? - Yahoo Finance,2026-07-28 06:37:00,https://news.google.com/rss/articles/CBMikgFBVV95cUxQbDVKSkJBSndhZXpWVmN2Z3lfMWw1S241VnJ2YWdCOGFkTmpSX1lSdi1vX0NFLTFYOHAyemdnbGRXUjN0aU5uMWlyeXZEbkppeHBaQm9pTzZFUUhsc1I4bExmRFVMQlM4V1ZvdUYwTlpXMHlHR0VtcDI1SFdBX0s2RnRkQ1VLcjBGSWx5cDUxUERMQQ?oc=5,negative,0.7275
Chip stocks tumble as AI sell-off deepens - Financial Times,2026-07-28 20:15:12,https://news.google.com/rss/articles/CBMihAFBVV95cUxQOU5EQzYzM1h5cUFtRE1hbWhzLW5KMm9ZVjZ4SFY0SE5Xc3IweTFEbS1XRTBjbThoVUJodHphUUprdWlEV2dyZ0tsazM0S01adW5EM255NXNhdmV1Vi1fR0dkVXNaRjNvT08ydm1GRlE2TC1XMVBrR3MxRkVwSEVRTnR1Nkc?oc=5,negative,0.6723
U.S. Stocks Move | Leading Tech Stocks Extend Declines; Intel (INTC.US) Drops Over 6% - Moomoo,2026-07-28 13:49:22,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQY0hvTlRacmJBaGdaWXNVWVVvSTBVd0JTOVBuanlWUEY4TGgtZnFfRVhQdWlfSGdhRXR3RnJ5U1BrelZwNXloN0JJYkNSVXBULVZKb3JfekFrTDhKYVlkRWlobW14LS0tUGFoX0hFSTQ1SWxiOGY5TnhQdi00NGJCd2pmMXJzYm9VYUxhNEs2WEx3ZWVHMk9FUF9LdTE4RldKaThaaUhHYnU?oc=5,neutral,0.6092
CXMT: China’s chipmakers trigger bloodbath in global tech stocks - Fortune,2026-07-28 10:35:00,https://news.google.com/rss/articles/CBMimAFBVV95cUxPcDlNUXRXN1pqZ29iWEhYdjFCWnZTMWFxbGMxYVVnelJUSnE5a0xObUIxMEQtUnF4TE4yaHhhTzdWLTRNY1hxS3cwZWlGLTBXOFR6S1RXMGp2UHo4ZXRGNG9SMmR4QmhuRzZ4YTlxd2lua0t0TW9lVURyOWVMd2sxVU9tZjVTX2FzSlh5QTBIY1NmMzYzVEN2bQ?oc=5,negative,0.5456
AI Greed Turns Into Fear as Tech Stocks Keep Sinking - Bloomberg,2026-07-29 02:34:13,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOeVpWSmQ2X21Sb3pvc1FTUjVJR0pKdGowckpFblIwWGtiR3ZkMjcwRHRLQkRYUDBuamYzRDdBVEw1RlFUaFkwbHNfUUEya0U5OFRfNFZlT0RvZVpEVXIteGpWX3pHM0V3QXZXTWUwN2pVRU5UZVNhQ2dLdlFjalpLZWRsYWZSOTNZUEpabmZ1SS1lQWljajhBSXhhVXI4NktYaGNxTlRFQloxdw?oc=5,negative,0.7372
